Red Signal, IR Signal
126858.000000, 155504.000000
126956.000000, 155758.000000
127049.000000, 155996.000000
127148.000000, 156223.000000
127239.000000, 156466.000000
127345.000000, 156718.000000
127418.000000, 156926.000000
127513.000000, 157153.000000
127497.000000, 157081.000000
127317.000000, 156537.000000
127167.000000, 156062.000000
125862.000000, 152951.000000
125948.000000, 153152.000000
125939.000000, 153121.000000
125709.000000, 152517.000000
125444.000000, 151816.000000
125288.000000, 151392.000000
125219.000000, 151204.000000
125225.000000, 151225.000000
125245.000000, 151295.000000
125243.000000, 151316.000000
125230.000000, 151282.000000
125224.000000, 151251.000000
125228.000000, 151281.000000
125251.000000, 151362.000000
125308.000000, 151466.000000
125340.000000, 151577.000000
125395.000000, 151719.000000
125448.000000, 151837.000000
125480.000000, 151941.000000
125524.000000, 152052.000000
125572.000000, 152164.000000
125604.000000, 152258.000000
125495.000000, 151944.000000
125229.000000, 151253.000000
125045.000000, 150745.000000
124964.000000, 150531.000000
124966.000000, 150509.000000
124979.000000, 150550.000000
125056.000000, 150687.000000
125142.000000, 150877.000000
125210.000000, 151054.000000
125294.000000, 151241.000000
125610.000000, 151968.000000
125721.000000, 152232.000000
125829.000000, 152486.000000
125921.000000, 152701.000000
125983.000000, 152865.000000
126037.000000, 152996.000000
126082.000000, 153099.000000
126108.000000, 153195.000000
126005.000000, 152900.000000
125727.000000, 152180.000000
125497.000000, 151584.000000
125389.000000, 151295.000000
125367.000000, 151246.000000
125411.000000, 151351.000000
125462.000000, 151498.000000
125491.000000, 151553.000000
125486.000000, 151535.000000
125484.000000, 151505.000000
125504.000000, 151535.000000
125546.000000, 151628.000000
125606.000000, 151795.000000
125683.000000, 151999.000000
125782.000000, 152257.000000
125867.000000, 152459.000000
125914.000000, 152589.000000
125950.000000, 152694.000000
125864.000000, 152444.000000
125605.000000, 151783.000000
125444.000000, 151325.000000
125383.000000, 151169.000000
125393.000000, 151164.000000
125445.000000, 151264.000000
125551.000000, 151503.000000
125676.000000, 151791.000000
125744.000000, 151969.000000
125748.000000, 152035.000000
125788.000000, 152146.000000
125847.000000, 152304.000000
125915.000000, 152467.000000
125993.000000, 152676.000000
126048.000000, 152877.000000
126115.000000, 153054.000000
126191.000000, 153244.000000
126248.000000, 153397.000000
126268.000000, 153450.000000
126107.000000, 153049.000000
125850.000000, 152376.000000
125648.000000, 151868.000000
125532.000000, 151560.000000
125470.000000, 151415.000000
125449.000000, 151373.000000
125498.000000, 151510.000000
125564.000000, 151669.000000
125625.000000, 151790.000000
125696.000000, 151951.000000
125786.000000, 152148.000000
125883.000000, 152358.000000
125968.000000, 152588.000000
126077.000000, 152882.000000
126198.000000, 153174.000000
126315.000000, 153459.000000
126422.000000, 153735.000000
126528.000000, 154009.000000
126658.000000, 154306.000000
126652.000000, 154288.000000
126486.000000, 153862.000000
126300.000000, 153391.000000
126180.000000, 153081.000000
127611.000000, 156945.000000
127604.000000, 156951.000000
127504.000000, 156648.000000
127350.000000, 156253.000000
127266.000000, 156013.000000
127254.000000, 155980.000000
127276.000000, 156045.000000
127329.000000, 156187.000000
127411.000000, 156380.000000
127473.000000, 156551.000000
127511.000000, 156645.000000
127534.000000, 156708.000000
127556.000000, 156787.000000
127590.000000, 156871.000000
127642.000000, 156996.000000
127676.000000, 157112.000000
127712.000000, 157195.000000
127731.000000, 157259.000000
127768.000000, 157397.000000
127822.000000, 157530.000000
127773.000000, 157423.000000
